Number of Paricles,Cost (Non Reciprocal),Cost (Reciprocal)
14, 0.003144177762435300 , 2.49994561143677 
15, 0.001584791657953540 , 2.49993168633459 
16, 0.001247092271332140 , 2.49989887289986 
17, 0.001120444122821860 , 2.49990140120509 
18, 0.001213691740131390 , 2.49992512583818 
19, 0.000852343247628115 , 2.49993442040735 
20, 0.000246120979554087 , 2.49990516144415 
21, 0.000703405297368211 , 2.49907778116031 
22, 0.000598271486637985 , 2.49827501158059 
23, 0.000188593518792086 , 2.49326109742630 
24, 0.001045290398798780 , 2.49661831232548 
25, 0.000613190509748746 , 2.49213323306783 
26, 0.000261115877803141 , 2.49250176201520 
27, 0.000106702039731213 , 2.48511446412271 
28, 0.000412200002151156 , 2.48706863848798 
29, 0.000140974803747672 , 2.48101960233461 